CN_Code,CAS_Number,CUS,EC_Number,UN_Number,Nomen,Name
29349990,88-15-3,0010092-5,201-804-6,,IUPAC,methyl 2-thienyl ketone
29349990,1195-16-0,0010164-4,,,INN,citiolone
29349990,1696-20-4,0010174-6,216-913-4,,IUPAC,4-acetylmorpholine
29349990,86-08-8,0010193-9,201-649-4,,COMMON,3-acetylpyridine-adenine dinucleotide
29349990,58-61-7,0010248-7,200-389-9,,IUPAC,adenosine
29349990,2140-25-2,0010249-8,,,IUPAC,adenosine acetate
29349990,0-00-0,0010250-1,,,COMMON,adenosine phosphates and metal salts thereof
29349990,61-19-8,0010256-7,,,INN,adenosine phosphate
29349990,5135-30-8,0010266-9,225-883-1,,IUPAC,adenosine 5'-(toluene-4-sulfonate)
29349990,3493-13-8,0010271-6,222-486-5,,IUPAC,S-(5'-deoxy-5'-adenosyl)methionine iodide
29349990,526-35-2,0010399-1,,,INN,allomethadione
29349990,19947-75-2,0010640-1,243-437-4,,IUPAC,"3,4-dimethylisoxazol-5-ylamine"
29349990,2038-03-1,0010666-1,,,IUPAC,2-morpholinoethylamine
29349990,108-33-8,0010741-5,203-573-7,,IUPAC,"5-methyl-1,3,4-thiadiazol-2-ylamine"
29349990,43056-63-9,0010745-9,,,IUPAC,[2-(prop-2-en-1-ylcarbamoyl)phenoxy]acetic acid
29349990,712-68-5,0010777-7,211-925-6,,IUPAC,"5-(5-nitro-2-furyl)-1,3,4-thiadiazol-2-ylamine"
29349990,551-16-6,0010787-9,208-993-4,,IUPAC,"(2S,5R,6R)-6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
29349990,1612-76-6,0010809-8,,,IUPAC,"5-phenyl-1,3,4-oxadiazol-2-ylamine"
29349990,123-00-2,0010836-1,204-590-2,1760,IUPAC,3-morpholinopropylamine
29349990,54-25-1,0011353-1,200-199-6,,IUPAC,"2-(β-D-ribofuranosyl)-1,2,4-triazine-3,5-diol"
29349990,205-43-6,0011607-4,,,IUPAC,7-thiabenzo[c]fluorene
29349990,135-00-2,0011615-4,205-169-6,,IUPAC,phenyl 2-thienyl ketone
29349990,95-15-8,0011616-5,202-395-7,,IUPAC,benzo[b]thiophene
29349990,273-53-0,0011621-2,205-988-9,,IUPAC,benzoxazole
29349990,59-49-4,0011622-3,200-430-0,,IUPAC,"1,3-benzoxazol-2(3H)-one"
29349990,852-38-0,0011902-8,212-712-0,,IUPAC,"2-biphenyl-4-yl-5-phenyl-1,3,4-oxadiazole"
29349990,1022-79-3,0012129-9,213-824-2,,IUPAC,5-bromo-2'-deoxycytidine
29349990,59-14-3,0012130-2,,,INN,broxuridine
29349990,1003-09-4,0012288-3,213-699-4,,IUPAC,2-bromothiophene
29349990,22131-35-7,0012334-2,,,INN,butalamine
29349990,6485-55-8,0012915-7,229-353-0,,IUPAC,"cis-2,6-dimethylmorpholine"
29349990,50723-80-3,0012995-3,,,ISOM,bentazone-sodium
29349990,115-41-3,0013028-9,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)dibenzene-1,2-diol"
29349990,80-77-3,0013117-9,,,INN,chlormezanone
29349990,59352-41-9,0013142-0,,,IUPAC,4-(2-chloroallyl)morpholine
29349990,1798-49-8,0013170-4,,,INNM,difencloxazine hydrochloride
29349990,43076-59-1,0013221-8,256-076-2,,IUPAC,4-chloro-1-(2-thienyl)butan-1-one
29349990,578-94-9,0013277-4,,1698,IUPAC,"10-chloro-5,10-dihydrophenarsazinine"
29349990,3240-94-6,0013320-0,221-810-2,,IUPAC,4-(2-chloroethyl)morpholine
29349990,3647-69-6,0013321-1,222-881-2,,IUPAC,4-(2-chloroethyl)morpholinium chloride
29349990,57450-55-2,0013397-1,260-740-7,,IUPAC,"1-chloro-4-methyldibenzo[b,e]thiin-10-one"
29349990,96-43-5,0013555-7,202-505-3,,IUPAC,2-chlorothiophene
29349990,6469-93-8,0013605-0,,,INNM,chlorprothixene hydrochloride
29349990,132-89-8,0013610-7,,,INN,chlorthenoxazine
29349990,95-25-0,0013612-9,,,INN,chlorzoxazone
29349990,85-61-0,0013891-0,,,COMMON,coenzyme A
29349990,18439-24-2,0013892-1,,,COMMON,"coenzyme A, trilithium salt"
29349990,1733-12-6,0013958-2,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2-methylphenol)"
29349990,2303-01-7,0013959-3,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(3-methylphenol)"
29349990,1611-35-4,0013960-6,,,IUPAC,"2,2',2'',2'''-{(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis[(4-hydroxy-5-methylbenzene-3,1-diyl)methanediylnitrilo]}tetraacetic acid"
29349990,15580-20-8,0014234-7,,,IUPAC,N-cyclohexyl-N'-2-morpholinoethylcarbodiimide
29349990,3899-50-1,0014285-8,223-450-1,,IUPAC,α-cyclopentyl-α-2-thienylglycolic acid
29349990,50-18-0,0014286-9,,2811,INN,cyclophosphamide
29349990,6193-47-1,0014300-0,228-247-1,,IUPAC,cyclopropyl 2-thienyl ketone
29349990,65-46-3,0014332-8,200-610-9,,IUPAC,cytidine
29349990,74263-38-0,0014333-9,277-793-7,,IUPAC,"barium bis[(3aR,4R,6R,6aR)-4-(4-amino-2-oxopyrimidin-1(2H)-yl)-6-(hydroxymethyl)tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-2-olate 2-oxide]"
29349990,84-52-6,0014334-0,201-537-5,,IUPAC,cytidine 3'-(dihydrogen phosphate)
29349990,63-37-6,0014335-1,200-556-6,,IUPAC,cytidine 5'-(dihydrogen phosphate)
29349990,36051-68-0,0014336-2,252-849-3,,IUPAC,cytidine 5'-(disodium dihydrogen triphosphate)
29349990,6757-06-8,0014337-3,229-819-3,,IUPAC,cytidine 5'-(disodium phosphate)
29349990,633-90-9,0014338-4,,,INN,cifostodine
